,Theme,상황,매너 명칭,액션 가이드,따뜻한 한 줄,플래시카드,
,교실의 온도 (수업 및 학습 매너),수업 시작,정시의 예우,수업 종이 울리기 전 자리에 앉아 교과서를 펴두기,"""당신의 준비된 자세가 수업의 공기를 차분하게 만듭니다.""",,
,교실의 온도 (수업 및 학습 매너),유인물 배부,방향의 배려,뒷사람에게 종이를 건넬 때 글자가 바로 보이도록 돌려주기,"""작은 방향의 전환이 타인의 수고를 한 걸음 덜어줍니다.""",,
,교실의 온도 (수업 및 학습 매너),친구의 발표,경청의 박수,발표가 끝난 친구에게 내용과 상관없이 따뜻한 박수 보내기,"""당신의 박수는 떨리던 누군가의 마음을 용기로 바꿉니다.""",,
,교실의 온도 (수업 및 학습 매너),필기구 대여,감사의 반납,빌린 펜은 고맙다는 인사와 함께 수업 직후 바로 돌려주기,"""물건을 소중히 다루는 마음은 신뢰라는 열매를 맺습니다.""",,
,교실의 온도 (수업 및 학습 매너),잠든 친구,다정한 깨움,잠든 친구를 깨울 땐 갑자기 소리치기보다 어깨를 살며시 두드리기,"""무안하지 않게 배려하는 손길에 우정이 깃듭니다.""",,
,교실의 온도 (수업 및 학습 매너),교탁 정돈,칠판의 마침표,수업 후 흩어진 분필과 지우개를 가지런히 정돈해두기,"""정돈된 자리는 다음을 시작하는 사람에게 큰 응원이 됩니다.""",,
,교실의 온도 (수업 및 학습 매너),조별 과제,1인분의 책임,내가 맡은 역할은 기한 내에 최선을 다해 마무리하기,"""당신의 성실함이 팀 전체의 어깨를 가볍게 만듭니다.""",,
,교실의 온도 (수업 및 학습 매너),스마트폰,침묵의 집중,수업 중엔 무음 모드를 확인하고 가방 속에 넣어두기,"""폰을 내려놓는 순간, 지식과 친구에게 집중할 시간이 열립니다.""",,
,교실의 온도 (수업 및 학습 매너),뒷좌석 배려,의자의 평화,무심코 앞 의자를 발로 차거나 밀지 않도록 주의하기,"""당신의 발끝에 담긴 조심스러움이 앞사람의 평온을 지킵니다.""",,
,교실의 온도 (수업 및 학습 매너),질문과 답변,눈맞춤의 대화,선생님이나 발표자의 질문에 고개를 끄덕이며 반응하기,"""당신의 작은 끄덕임은 말하는 이에게 가장 큰 힘이 됩니다.""",,
,교실의 온도 (수업 및 학습 매너),칠판 지우기,먼지 없는 배려,칠판을 지울 때 가루가 날리지 않도록 위에서 아래로 천천히 지우기,"""보이지 않는 공기까지 생각하는 마음이 교실을 맑게 합니다.""",,
,교실의 온도 (수업 및 학습 매너),노트 공유,나눔의 기쁨,필기를 놓친 친구에게 흔쾌히 노트를 보여주며 격려하기,"""지식은 나눌수록 커지고, 우정은 나눌수록 깊어집니다.""",,
,교실의 온도 (수업 및 학습 매너),자습 시간,책장의 무게,조용한 시간엔 책장을 넘기거나 필기구를 놓을 때 소리 죽이기,"""당신의 정숙함은 모두의 몰입을 돕는 훌륭한 배려입니다.""",,
