,,,
,Theme,상황,매너 명칭,액션 가이드,따뜻한 한 줄,플래시카드,
,디지털 실버의 예의 (스마트폰 및 키오스크),동영상 시청,이어폰의 미덕,공공장소에서 영상을 볼 땐 반드시 이어폰을 끼거나 음소거 하기,"""당신의 조용한 배려가 흐르는 곳에서 모두의 휴식이 완성됩니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),메신저 공유,출처 확인의 지혜,확실하지 않은 뉴스나 건강 정보는 공유하기 전 사실인지 한 번 더 살피기,"""신중한 공유 하나가 당신을 더욱 신뢰받는 어른으로 만듭니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),키오스크 주문,뒷사람의 배려,주문이 서툴 땐 뒷사람에게 먼저 양보하거나 천천히 도움 청하기,"""서두르지 않는 당신의 여유가 세상의 속도를 조금 더 다정하게 만듭니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),스피커폰 통화,낮은 목소리,밖에서 통화할 땐 스피커폰 대신 귀에 대고 낮은 목소리로 말하기,"""낮은 목소리에는 당신의 깊은 연륜과 타인에 대한 존중이 담겨 있습니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),단체 대화방,이모지의 온도,너무 많은 사진 도배보다는 따뜻한 안부 인사 한마디 건네기,"""짧은 인사 한 줄에 담긴 당신의 진심이 가족과 친구의 하루를 밝힙니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),스마트폰 조명,화면 밝기 조절,어두운 공연장이나 영화관에선 휴대폰 화면 밝기를 낮추고 사용 자제하기,"""당신의 어두운 화면이 타인의 몰입을 도와주는 가장 밝은 배려입니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),키패드 소리,고요한 타이핑,글자를 칠 때 나는 '딸칵' 소리를 무음이나 진동으로 설정하기,"""사소한 소음까지 챙기는 당신의 세심함에 주변은 더 평온해집니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),디지털 도움,감사의 표현,"젊은이에게 사용법을 물어본 후엔 ""가르쳐줘서 고마워""라고 꼭 말하기","""당신의 다정한 고마움은 도움을 준 이에게 큰 보람과 미소를 선물합니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),SNS 댓글,응원의 댓글,"자녀나 손주의 SNS에 훈계보다는 ""멋지다"", ""사랑한다""는 응원 남기기","""당신의 따뜻한 댓글 한 줄은 자녀들에게 가장 든든한 버팀목이 됩니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),통화 거절,문자의 예의,전화를 받기 어려울 땐 '회의 중입니다' 등 자동 거절 문구 활용하기,"""작은 문자 한 통이 당신을 기다리는 상대방의 불안을 안심으로 바꿉니다.""",,
,디지털 실버의 예의 (스마트폰 및 키오스크),사이버 예절,비방 금지,온라인 뉴스 댓글에 비속어나 혐오 표현 대신 품격 있는 의견 남기기,"""당신의 정갈한 문장이 인터넷 세상을 더 아름다운 정원으로 만듭니다.""",,
